county,id,week,date,value,.lower,.upper,.width,.point,.interval
Orange,18,10,2023-06-05T00:00:00Z,0.9631541407348592,0.8010853912592901,1.165332254010719,0.95,median,qi
Orange,18,10,2023-06-07T00:00:00Z,0.9631541407348592,0.8010853912592901,1.165332254010719,0.95,median,qi
Orange,18,10,2023-06-09T00:00:00Z,0.9631541407348592,0.8010853912592901,1.165332254010719,0.95,median,qi
Orange,18,11,2023-06-11T00:00:00Z,0.9999814332056088,0.8178016221817065,1.207214179244262,0.95,median,qi
Orange,18,11,2023-06-12T00:00:00Z,0.9999814332056088,0.8178016221817065,1.207214179244262,0.95,median,qi
Orange,18,11,2023-06-14T00:00:00Z,0.9999814332056088,0.8178016221817065,1.207214179244262,0.95,median,qi
Orange,18,11,2023-06-16T00:00:00Z,0.9999814332056088,0.8178016221817065,1.207214179244262,0.95,median,qi
Orange,18,12,2023-06-18T00:00:00Z,1.0623980608264736,0.8851926713804416,1.2806270012889351,0.95,median,qi
Orange,18,12,2023-06-19T00:00:00Z,1.0623980608264736,0.8851926713804416,1.2806270012889351,0.95,median,qi
Orange,18,12,2023-06-21T00:00:00Z,1.0623980608264736,0.8851926713804416,1.2806270012889351,0.95,median,qi
Orange,18,12,2023-06-23T00:00:00Z,1.0623980608264736,0.8851926713804416,1.2806270012889351,0.95,median,qi
Orange,18,13,2023-06-25T00:00:00Z,1.1201848260669387,0.9320764285741162,1.3483472814593058,0.95,median,qi
Orange,18,13,2023-06-26T00:00:00Z,1.1201848260669387,0.9320764285741162,1.3483472814593058,0.95,median,qi
Orange,18,13,2023-06-28T00:00:00Z,1.1201848260669387,0.9320764285741162,1.3483472814593058,0.95,median,qi
Orange,18,13,2023-06-30T00:00:00Z,1.1201848260669387,0.9320764285741162,1.3483472814593058,0.95,median,qi
Orange,18,14,2023-07-02T00:00:00Z,1.1637907607268572,0.9605990291516168,1.3859438560769224,0.95,median,qi
Orange,18,14,2023-07-03T00:00:00Z,1.1637907607268572,0.9605990291516168,1.3859438560769224,0.95,median,qi
Orange,18,14,2023-07-05T00:00:00Z,1.1637907607268572,0.9605990291516168,1.3859438560769224,0.95,median,qi
Orange,18,14,2023-07-07T00:00:00Z,1.1637907607268572,0.9605990291516168,1.3859438560769224,0.95,median,qi
Orange,18,15,2023-07-09T00:00:00Z,1.228464847387572,1.033055036179395,1.4942499009640335,0.95,median,qi
Orange,18,15,2023-07-10T00:00:00Z,1.228464847387572,1.033055036179395,1.4942499009640335,0.95,median,qi
Orange,18,15,2023-07-12T00:00:00Z,1.228464847387572,1.033055036179395,1.4942499009640335,0.95,median,qi
Orange,18,15,2023-07-14T00:00:00Z,1.228464847387572,1.033055036179395,1.4942499009640335,0.95,median,qi
Orange,18,16,2023-07-16T00:00:00Z,1.2965024936734308,1.062574415083691,1.5736970051363706,0.95,median,qi
Orange,18,16,2023-07-17T00:00:00Z,1.2965024936734308,1.062574415083691,1.5736970051363706,0.95,median,qi
Orange,18,16,2023-07-19T00:00:00Z,1.2965024936734308,1.062574415083691,1.5736970051363706,0.95,median,qi
Orange,18,16,2023-07-21T00:00:00Z,1.2965024936734308,1.062574415083691,1.5736970051363706,0.95,median,qi
Orange,18,17,2023-07-23T00:00:00Z,1.3147186109669908,1.1021556610304957,1.6223369257819165,0.95,median,qi
Orange,18,17,2023-07-24T00:00:00Z,1.3147186109669908,1.1021556610304957,1.6223369257819165,0.95,median,qi
Orange,18,17,2023-07-26T00:00:00Z,1.3147186109669908,1.1021556610304957,1.6223369257819165,0.95,median,qi
Orange,18,17,2023-07-28T00:00:00Z,1.3147186109669908,1.1021556610304957,1.6223369257819165,0.95,median,qi
Orange,18,18,2023-07-30T00:00:00Z,1.2723650745378563,1.0564966367378064,1.5227924342450114,0.95,median,qi
Orange,18,18,2023-07-31T00:00:00Z,1.2723650745378563,1.0564966367378064,1.5227924342450114,0.95,median,qi
Orange,18,18,2023-08-02T00:00:00Z,1.2723650745378563,1.0564966367378064,1.5227924342450114,0.95,median,qi
Orange,18,18,2023-08-04T00:00:00Z,1.2723650745378563,1.0564966367378064,1.5227924342450114,0.95,median,qi
Orange,18,19,2023-08-06T00:00:00Z,1.180714532466479,0.9757696379822586,1.4287774433746934,0.95,median,qi
Orange,18,19,2023-08-07T00:00:00Z,1.180714532466479,0.9757696379822586,1.4287774433746934,0.95,median,qi
Orange,18,19,2023-08-09T00:00:00Z,1.180714532466479,0.9757696379822586,1.4287774433746934,0.95,median,qi
Orange,18,19,2023-08-11T00:00:00Z,1.180714532466479,0.9757696379822586,1.4287774433746934,0.95,median,qi
Orange,18,20,2023-08-13T00:00:00Z,1.084583403373919,0.8942551008665724,1.3137006998581926,0.95,median,qi
Orange,18,20,2023-08-14T00:00:00Z,1.084583403373919,0.8942551008665724,1.3137006998581926,0.95,median,qi
Orange,18,20,2023-08-16T00:00:00Z,1.084583403373919,0.8942551008665724,1.3137006998581926,0.95,median,qi
Orange,18,20,2023-08-17T00:00:00Z,1.084583403373919,0.8942551008665724,1.3137006998581926,0.95,median,qi
Orange,18,20,2023-08-18T00:00:00Z,1.084583403373919,0.8942551008665724,1.3137006998581926,0.95,median,qi
Orange,18,21,2023-08-20T00:00:00Z,0.9678115780295056,0.7974567368208217,1.1610498781577725,0.95,median,qi
Orange,18,21,2023-08-21T00:00:00Z,0.9678115780295056,0.7974567368208217,1.1610498781577725,0.95,median,qi
Orange,18,21,2023-08-23T00:00:00Z,0.9678115780295056,0.7974567368208217,1.1610498781577725,0.95,median,qi
Orange,18,21,2023-08-25T00:00:00Z,0.9678115780295056,0.7974567368208217,1.1610498781577725,0.95,median,qi
Orange,18,22,2023-08-27T00:00:00Z,0.8827667118811151,0.7127208143851717,1.0649067822045084,0.95,median,qi
Orange,18,22,2023-08-28T00:00:00Z,0.8827667118811151,0.7127208143851717,1.0649067822045084,0.95,median,qi
Orange,18,22,2023-08-30T00:00:00Z,0.8827667118811151,0.7127208143851717,1.0649067822045084,0.95,median,qi
Orange,18,22,2023-09-01T00:00:00Z,0.8827667118811151,0.7127208143851717,1.0649067822045084,0.95,median,qi
Orange,18,23,2023-09-03T00:00:00Z,0.8284563669545086,0.6664248291693786,0.999346352872551,0.95,median,qi
Orange,18,23,2023-09-04T00:00:00Z,0.8284563669545086,0.6664248291693786,0.999346352872551,0.95,median,qi
Orange,18,23,2023-09-05T00:00:00Z,0.8284563669545086,0.6664248291693786,0.999346352872551,0.95,median,qi
Orange,18,23,2023-09-06T00:00:00Z,0.8284563669545086,0.6664248291693786,0.999346352872551,0.95,median,qi
Orange,18,23,2023-09-07T00:00:00Z,0.8284563669545086,0.6664248291693786,0.999346352872551,0.95,median,qi
Orange,18,23,2023-09-09T00:00:00Z,0.8284563669545086,0.6664248291693786,0.999346352872551,0.95,median,qi
Orange,18,24,2023-09-10T00:00:00Z,0.7599059889859991,0.6094794326484756,0.9200501198612876,0.95,median,qi
Orange,18,24,2023-09-11T00:00:00Z,0.7599059889859991,0.6094794326484756,0.9200501198612876,0.95,median,qi
Orange,18,24,2023-09-13T00:00:00Z,0.7599059889859991,0.6094794326484756,0.9200501198612876,0.95,median,qi
Orange,18,24,2023-09-15T00:00:00Z,0.7599059889859991,0.6094794326484756,0.9200501198612876,0.95,median,qi
Orange,18,25,2023-09-17T00:00:00Z,0.7089368290296163,0.5553293313121219,0.8747492762336629,0.95,median,qi
Orange,18,25,2023-09-18T00:00:00Z,0.7089368290296163,0.5553293313121219,0.8747492762336629,0.95,median,qi
Orange,18,25,2023-09-20T00:00:00Z,0.7089368290296163,0.5553293313121219,0.8747492762336629,0.95,median,qi
Orange,18,25,2023-09-22T00:00:00Z,0.7089368290296163,0.5553293313121219,0.8747492762336629,0.95,median,qi
Orange,18,26,2023-09-24T00:00:00Z,0.702071173374833,0.5541261001835184,0.852595407587716,0.95,median,qi
Orange,18,26,2023-09-25T00:00:00Z,0.702071173374833,0.5541261001835184,0.852595407587716,0.95,median,qi
Orange,18,26,2023-09-27T00:00:00Z,0.702071173374833,0.5541261001835184,0.852595407587716,0.95,median,qi
Orange,18,26,2023-09-29T00:00:00Z,0.702071173374833,0.5541261001835184,0.852595407587716,0.95,median,qi
Orange,18,27,2023-10-01T00:00:00Z,0.7162430096312838,0.5563310906920494,0.8743260105904632,0.95,median,qi
Orange,18,27,2023-10-02T00:00:00Z,0.7162430096312838,0.5563310906920494,0.8743260105904632,0.95,median,qi
Orange,18,27,2023-10-04T00:00:00Z,0.7162430096312838,0.5563310906920494,0.8743260105904632,0.95,median,qi
Orange,18,27,2023-10-06T00:00:00Z,0.7162430096312838,0.5563310906920494,0.8743260105904632,0.95,median,qi
Orange,18,28,2023-10-08T00:00:00Z,0.7928851717991106,0.635583521124124,0.9748595384762268,0.95,median,qi
Orange,18,28,2023-10-09T00:00:00Z,0.7928851717991106,0.635583521124124,0.9748595384762268,0.95,median,qi
Orange,18,28,2023-10-11T00:00:00Z,0.7928851717991106,0.635583521124124,0.9748595384762268,0.95,median,qi
Orange,18,28,2023-10-13T00:00:00Z,0.7928851717991106,0.635583521124124,0.9748595384762268,0.95,median,qi
Orange,18,29,2023-10-15T00:00:00Z,0.9659480540634792,0.7809704245517936,1.169317408391945,0.95,median,qi
Orange,18,29,2023-10-16T00:00:00Z,0.9659480540634792,0.7809704245517936,1.169317408391945,0.95,median,qi
Orange,18,29,2023-10-18T00:00:00Z,0.9659480540634792,0.7809704245517936,1.169317408391945,0.95,median,qi
Orange,18,29,2023-10-20T00:00:00Z,0.9659480540634792,0.7809704245517936,1.169317408391945,0.95,median,qi
Orange,18,30,2023-10-22T00:00:00Z,1.2016843740608678,0.9881547500016798,1.4771028756275988,0.95,median,qi
Orange,18,30,2023-10-23T00:00:00Z,1.2016843740608678,0.9881547500016798,1.4771028756275988,0.95,median,qi
Orange,18,30,2023-10-25T00:00:00Z,1.2016843740608678,0.9881547500016798,1.4771028756275988,0.95,median,qi
Orange,18,30,2023-10-27T00:00:00Z,1.2016843740608678,0.9881547500016798,1.4771028756275988,0.95,median,qi
Orange,18,31,2023-10-29T00:00:00Z,1.3941942202340991,1.1557840721721646,1.7624811521720911,0.95,median,qi
Orange,18,31,2023-10-30T00:00:00Z,1.3941942202340991,1.1557840721721646,1.7624811521720911,0.95,median,qi
Orange,18,31,2023-11-01T00:00:00Z,1.3941942202340991,1.1557840721721646,1.7624811521720911,0.95,median,qi
Orange,18,31,2023-11-03T00:00:00Z,1.3941942202340991,1.1557840721721646,1.7624811521720911,0.95,median,qi
Orange,18,32,2023-11-05T00:00:00Z,1.4393627185398796,1.1888224660468245,1.7704280346750043,0.95,median,qi
Orange,18,32,2023-11-06T00:00:00Z,1.4393627185398796,1.1888224660468245,1.7704280346750043,0.95,median,qi
Orange,18,32,2023-11-08T00:00:00Z,1.4393627185398796,1.1888224660468245,1.7704280346750043,0.95,median,qi
Orange,18,32,2023-11-10T00:00:00Z,1.4393627185398796,1.1888224660468245,1.7704280346750043,0.95,median,qi
Orange,18,33,2023-11-12T00:00:00Z,1.4454291573117342,1.182208609981594,1.7738982023281984,0.95,median,qi
Orange,18,33,2023-11-13T00:00:00Z,1.4454291573117342,1.182208609981594,1.7738982023281984,0.95,median,qi
Orange,18,33,2023-11-15T00:00:00Z,1.4454291573117342,1.182208609981594,1.7738982023281984,0.95,median,qi
