"old_wwtp_name","sewershed_code","County_address","current_wwtp_name"
"Windsor Wastewater Treatment, Reclamation, and Disposal Facility","Windsor_WTRDF","Sonoma","Windsor_WTRDF"
"Winters - East Street Pump Station","Winters_WTF","Yolo","Winters - East Street Pump Station"
"Winters - East Street Pump Station","Winters_WTF","Yolo","Winters_WTF"
"Woodland Water Pollution Control Facility","Woodland_WPCP","Yolo","Woodland Water Pollution Control Facility"
"Woodland Water Pollution Control Facility","Woodland_WPCP","Yolo","Woodland_WPCP"
NA,"CCWTP_CrescentCity","Del Norte","CCWTP_CrescentCity"
NA,"Chico_WPCP","Butte","Chico_WPCP"
NA,"City_Yuba","Sutter","City_Yuba"
NA,"CODIGA_All","Santa Clara","CODIGA_All"
NA,"DelDiablo","Contra Costa","DelDiablo"
NA,"Eureka_ElkRiver","Humboldt","Eureka_ElkRiver"
NA,"FSSD_Fairfield","Solano","FSSD_Fairfield"
NA,"HWWTF_Hanford","Kings","HWWTF_Hanford"
NA,"MammothCWD","Mono","MammothCWD"
NA,"NPS_ElPortal","Mariposa","NPS_ElPortal"
NA,"OrovilleSC","Butte","OrovilleSC"
NA,"PlacerSE_DC_WWTP","Placer","PlacerSE_DC_WWTP"
NA,"Clearcreek","Shasta","Redding_Clearcreek"
NA,"SantaBarbara_Cty","Santa Barbara","SantaBarbara_Cty"
NA,"SLO_WRRF","San Luis Obispo","SLO_WRRF"
NA,"UCDavis_WWTP","Yolo","UCDavis_WWTP"
